"id","fips","fips_five_digit","county_name","state","state_name","county_num_three_digit","state_num_two_digit","tract_num","tract_char","tract_decimal","geo_fips","geo_fips_char","geo_geoid","geo_name","geo_sumlev","acs_release_id","acs_year","acs_length","geo_arealand","geo_areawatr","tract_latitude","tract_longitude","pop_total","pop_0_50","pop_50_74","pop_75_99","pop_100_124","pop_125_129","pop_130_137","pop_138_149","pop_150_174","pop_175_184","pop_185_199","pop_200_299","pop_300_399","pop_400_499","pop_500","pop_50_99","pop_125_149","pop_150_184","pop_100","pop_130","pop_138","pop_150","pop_185","pop_200","pop_300","pop_0_99","pop_0_124","pop_0_129","pop_0_137","pop_0_149","pop_0_184","pop_0_199","pop_125_184","pop_130_149","pop_130_184","pop_130_199","percent_eligible_100","percent_ineligible_100","percent_eligible_130","percent_ineligible_130","percent_eligible_138","percent_ineligible_138","percent_eligible_150","percent_ineligible_150","percent_eligible_185","percent_ineligible_185","percent_eligible_200","percent_ineligible_200","pop_child_total","pop_child_0_124","pop_child_125_184","pop_child_185_199","pop_child_200_299","pop_child_200","pop_child_300","pop_adult_total","pop_adult_0_124","pop_adult_125_184","pop_adult_185_199","pop_adult_200_299","pop_adult_200","pop_adult_300","pop_senior_total","pop_senior_0_124","pop_senior_125_184","pop_senior_185_199","pop_senior_200_299","pop_senior_200","pop_senior_300","check_pop_total_C27016","check_pop_200_C27016","check_138_position_C27016","batch_id","date_added","added_by","last_update","last_update_by","status_id"
"240791","39001","39001","ADAMS","OH",,"001","39","770100","770100","7701","39001770100","39001770100",,,,,"2017","acs5","0","0","0","0","4380","361","456","359","343","73","0","707","249","175","138","911","317","365","342","815","364","424","3204","2788","3204","2497","2073","1935","1024","1176","1519","1592","1176","1883","2307","2445","788","291","715","853","0.2685","0.7315","0.3635","0.6365","0.2685","0.7315","0.4299","0.5701","0.5267","0.4733","0.5582","0.4418","925","443","163","15","121","304","183","2685","938","483","87","488","1177","689","770","138","142","36","241","454","213","4380","1893","1.9423077","1545337457","20/12/2018 15:24:41","1","20/12/2018 15:24:41",,"1"
"240792","39001","39001","ADAMS","OH",,"001","39","770200","770200","7702","39001770200","39001770200",,,,,"2017","acs5","0","0","0","0","4934","411","294","229","275","89","0","722","139","246","40","944","592","571","746","523","447","385","4000","3636","4000","3278","2893","2853","1909","934","1209","1298","934","1656","2041","2081","832","358","743","783","0.1893","0.8107","0.2631","0.7369","0.1893","0.8107","0.3356","0.6644","0.4137","0.5863","0.4218","0.5782","1312","474","260","8","54","570","516","2838","624","493","13","608","1708","1100","784","111","79","19","244","575","331","4934","2087","1.6152125","1545337457","20/12/2018 15:24:41","1","20/12/2018 15:24:41",,"1"
"240793","39001","39001","ADAMS","OH",,"001","39","770300","770300","7703","39001770300","39001770300",,,,,"2017","acs5","0","0","0","0","7120","464","376","194","583","91","0","1040","223","314","185","1593","991","1049","691","570","457","537","6086","5412","6086","5046","4509","4324","2731","1034","1617","1708","1034","2074","2611","2796","994","366","903","1088","0.1452","0.8548","0.2399","0.7601","0.1452","0.8548","0.2913","0.7087","0.3667","0.6333","0.3927","0.6073","1800","580","147","52","403","1021","618","4345","912","591","86","1045","2756","1711","975","125","256","47","78","547","469","7120","3604","2.2757112","1545337457","20/12/2018 15:24:41","1","20/12/2018 15:24:41",,"1"
"240796","39001","39001","ADAMS","OH",,"001","39","770400","770400","7704","39001770400","39001770400",,,,,"2017","acs5","0","0","0","0","3897","580","407","321","486","43","0","703","278","61","51","504","253","225","514","728","217","339","2589","2060","2589","1886","1547","1496","992","1308","1794","1837","1308","2011","2350","2401","556","174","513","564","0.3356","0.6644","0.4714","0.5286","0.3356","0.6644","0.516","0.484","0.603","0.397","0.6161","0.3839","837","560","23","0","37","254","217","2242","1007","336","27","238","872","634","818","227","197","24","140","370","230","3897","1324","3.2396313","1545337457","20/12/2018 15:24:42","1","20/12/2018 15:24:42",,"1"
"240794","39001","39001","ADAMS","OH",,"001","39","770500","770500","7705","39001770500","39001770500",,,,,"2017","acs5","0","0","0","0","3567","433","270","364","193","83","0","610","287","27","145","653","287","191","300","634","417","314","2500","2224","2500","1890","1576","1431","778","1067","1260","1343","1067","1677","1991","2136","731","334","648","793","0.2991","0.7009","0.3765","0.6235","0.2991","0.7009","0.4701","0.5299","0.5582","0.4418","0.5988","0.4012","879","400","209","55","53","215","162","2128","685","440","34","433","969","536","560","175","82","56","121","247","126","3567","1679","1.4628297","1545337457","20/12/2018 15:24:41","1","20/12/2018 15:24:41",,"1"
"240795","39001","39001","ADAMS","OH",,"001","39","770600","770600","7706","39001770600","39001770600",,,,,"2017","acs5","0","0","0","0","3586","344","425","249","113","40","0","315","250","105","81","776","331","185","525","674","202","355","2568","2415","2568","2253","1898","1817","1041","1018","1131","1171","1018","1333","1688","1769","557","162","517","598","0.2839","0.7161","0.3265","0.6735","0.2839","0.7161","0.3717","0.6283","0.4707","0.5293","0.4933","0.5067","875","200","209","18","190","448","258","2171","835","245","47","419","1044","625","540","96","103","16","138","325","187","3586","1643","1.5594059","1545337457","20/12/2018 15:24:42","1","20/12/2018 15:24:42",,"1"
"240806","39003","39003","ALLEN","OH",,"003","39","10100","010100","101","39003010100","39003010100",,,,,"2017","acs5","0","0","0","0","4119","96","32","134","105","38","0","296","143","0","48","896","660","527","1287","166","191","143","3857","3714","3857","3561","3418","3370","2474","262","367","405","262","558","701","749","334","153","296","344","0.0636","0.9364","0.0983","0.9017","0.0636","0.9364","0.1355","0.8645","0.1702","0.8298","0.1818","0.8182","959","97","84","0","181","778","597","2303","178","119","4","563","2002","1439","857","92","131","44","81","590","509","4119","1790","1.5497382","1545337457","20/12/2018 15:25:07","1","20/12/2018 15:25:07",,"1"
"240818","39003","39003","ALLEN","OH",,"003","39","10200","010200","102","39003010200","39003010200",,,,,"2017","acs5","0","0","0","0","3997","255","181","39","167","26","0","295","64","125","21","826","1038","389","764","220","128","189","3522","3329","3522","3227","3038","3017","2191","475","642","668","475","770","959","980","317","102","291","312","0.1188","0.8812","0.1671","0.8329","0.1188","0.8812","0.1926","0.8074","0.2399","0.7601","0.2452","0.7548","1125","379","131","0","123","615","492","2307","220","144","7","533","1936","1403","565","43","42","14","109","466","357","3997","2173","2.3046875","1545337457","20/12/2018 15:25:10","1","20/12/2018 15:25:10",,"1"
"240802","39003","39003","ALLEN","OH",,"003","39","10300","010300","103","39003010300","39003010300",,,,,"2017","acs5","0","0","0","0","1504","9","57","5","54","22","0","162","146","19","4","308","275","228","291","62","108","165","1433","1357","1433","1271","1106","1102","794","71","125","147","71","233","398","402","273","86","251","255","0.0472","0.9528","0.0977","0.9023","0.0472","0.9528","0.1549","0.8451","0.2646","0.7354","0.2673","0.7327","342","36","120","0","72","186","114","891","79","129","0","152","683","531","271","10","24","4","65","233","168","1504","757","1.5","1545337457","20/12/2018 15:25:07","1","20/12/2018 15:25:07",,"1"
"240811","39003","39003","ALLEN","OH",,"003","39","10600","010600","106","39003010600","39003010600",,,,,"2017","acs5","0","0","0","0","4845","259","125","305","113","32","0","275","251","101","37","1064","687","602","1139","430","162","352","4156","4011","4156","3881","3529","3492","2428","689","802","834","689","964","1316","1353","514","130","482","519","0.1422","0.8578","0.1721","0.8279","0.1422","0.8578","0.199","0.801","0.2716","0.7284","0.2793","0.7207","1327","332","144","4","220","847","627","2850","425","275","15","599","2135","1536","668","45","95","18","154","510","356","4845","2226","1.6975309","1545337457","20/12/2018 15:25:08","1","20/12/2018 15:25:08",,"1"
